Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
4/23/23 18:04,Gainesville,FL,USA,Sphere,1 min 6s,"Recorded three small, grey, metallic, spherically shaped objects flying together half a mile away from my apartment",5/19/23,Yes
4/23/23 18:00,Exeter,Devon,United Kingdom,Disk,Only picked up on photos.,Photo sunset . 2 images one with ufo one without,5/19/23,Yes
4/23/23 14:30,Goleta/Santa Barbara,CA,USA,Triangle,3 hours,Multiple sightings of a triangle with still lights flying by low and a fast rate of speed and a boomerang type of craft with no lights,5/19/23,
4/23/23 14:30,Lake Havasu City,AZ,USA,Orb,10 to 15 min.,visability almost unlimited. high cerris clouds. some cumulus clouds present.clouds traveling south.,5/19/23,
4/23/23 11:35,Calgary,AB,Canada,Triangle,10 seconds,"3 moving in sky, was small and was formed as a triangle. Within seconds all 3 separated from one another and zipped through sky.",5/19/23,
4/23/23 04:14,Woodcliff lake,NJ,USA,Disk,9 seconds,A shadow above the clouds disappears,5/19/23,
4/23/23 03:08,Wigan,,United Kingdom,Orb,One minute,Looking through cctv footage,5/19/23,
4/23/23 02:00,Ramona,CA,United States Minor Outlying Islands,Unknown,5 minutes,Multiple extremely bright strobe lights that were being directed,5/19/23,
4/22/23 23:01,St George,NB,Canada,Orb,15 seconds,I seen this green orb or glowing sphere materialize in green night sky at about 2000ft,5/19/23,
4/22/23 22:30,Riverton,UT,,Formation,5 mins,"3 large lights above the clouds, that did not move for 5 mins",5/19/23,
4/22/23 22:00,Upland,CA,USA,Triangle,5-10 second observation,"3 circles, in a triangle formation",5/19/23,Yes
4/22/23 19:00,Spokane Valley,WA,USA,Cylinder,15+ min,Rocket-shaped object floating in place above Spokane Valley,5/19/23,
4/22/23 17:10,Uniontown,PA,USA,Cylinder,20-30 seconds,Object viewed flying within wingspan of commercial aircraft,5/19/23,Yes
4/22/23 02:50,Franklin,GA,USA,Circle,Video at least 6 minutes,Above my house hovering sending out orbs probes my nigh vision sneaks them out before hidden haze they use,5/19/23,Yes
4/22/23 02:34,seneca,IL,USA,Formation,1 minute and 22 seconds,Large bright object having over the corn field,5/19/23,
4/22/23 02:30,Franklin,GA,USA,Circle,Night,A few craft one craft was about to use his hidden feature,5/19/23,Yes
4/22/23 00:07,Austin,TX,USA,Orb,5 seconds,Small line of orbs. If I held a ruler out it would have been about 1 inch long.,5/19/23,
4/21/23 21:50,Provo,UT,USA,Triangle,2-3 Minutes,A triangular object viewed from my backyard during a cloudy night.,5/19/23,
4/21/23 21:25,Granbury,TX,USA,Oval,1 minute,We were walking ABS suddenly saw those 3 things in the sky,5/19/23,
4/21/23 21:20,Altoona,PA,USA,Diamond,ap 2 minutes,"Heard what sounded similar to a turbo diesel engine but we knew that it wasn't that. We all began to investigate the sound,",5/19/23,
4/21/23 20:43,Lakeville,MA,USA,Unknown,60 seconds,"Observed object cuise down above tree line, then fly away at fast rate of speed",5/19/23,
4/21/23 19:35,Niederwald,TX,USA,Cylinder,24 minutes,"Bright white, with pink and blue lights encompassing the white object hovering with slight angle, very slowly moving away.",5/19/23,Yes
4/21/23 19:08,Green Valley,AZ,USA,Light,A few minutes.,I stepped outside to take a picture of the sky after sunset for a photographic group challenge.,5/19/23,
4/21/23 14:20,Stanley,NM,USA,Other,20 seconds,Multiple small pieces of reflective material moving fluidly like a flock of birds high in the sky,5/19/23,
4/21/23 00:24,Largo,FL,USA,Chevron,5-10 seconds,South to North completely silent 4-5 white round lights.,5/19/23,
4/20/23 23:17,Dublin,OH,USA,Cylinder,5 minutes,Bright orange aircraft,5/19/23,
4/20/23 22:30,Jacksonville,FL,USA,Other,constant contact,multiple beings eyes glow with blue light projected from eyes finger lights a orange color they fly and cloaking abilities also many or,5/19/23,
4/20/23 22:17,San Geronimo,CA,USA,Circle,15 Minutes,I already filled this out just. Now I'm just sending you a short video clip of the sighting,5/19/23,Yes
4/20/23 22:16,San Geronimo,CA,USA,Circle,fifteen minutes,A circular flashy object that changed colors,5/19/23,Yes
4/20/23 21:05,Myrtle Beach,SC,USA,Chevron,It's outside my trailer n,Its outside my trailer every night for weeks now,5/19/23,Yes
4/20/23 20:43,Baltimore,MD,USA,Light,Constant,Hovering bright lights unusual,5/19/23,
4/20/23 12:12,Paulina,LA,USA,Cigar,1 min,"I was at work on the mississippi river in paulina, la and i picked my head up and saw 2 crafts with no wings.",5/19/23,
4/20/23 06:14,Margate,FL,USA,Sphere,approx one minute,captured it on Iphone . Thought it was Jupiter . Slow movement but erratic,5/19/23,
4/20/23 02:12,Centerton,AR,USA,Orb,Lasts nearly an hour,"Orbs appearing, slowing down, then dimming from left to right.",5/19/23,
4/20/23 00:00,TN Johnson City,TN,USA,Unknown,40 seconds,craft went from right to left and stopped then floated and turned to the right and then flew off at about a 45 degree angle slow moving,5/19/23,
4/19/23 23:00,Mandeville,LA,USA,Changing,Multiple sightings 8-12m,Bright melted reappeared. Followed by 5 more,5/19/23,
4/19/23 22:00,New York,NY,USA,Circle,Three hours,Looked out window facing Hudson River,5/19/23,Yes
4/19/23 20:40,Wayzata,MN,USA,Other,1 min,Loud distant roaring spinning noise figure above too big to be a plane,5/19/23,
4/19/23 19:42,San Clemente,CA,USA,Cigar,15 seconds,Thing moving across the water unnaturally,5/19/23,
4/19/23 19:30,Tarpon springs,FL,USA,Circle,5-10 minutes,I was driving home from a roller blade with my dog when I saw what looked like a metal ball in the sky,5/19/23,
4/19/23 07:01,Humboldt,TN,USA,Light,1-3 minutes,Saw several jets escorting another that had what looked like a large bright star floating next to it for several seconds then vanished,5/19/23,
4/19/23 04:00,Encino,CA,USA,Changing,57 seconds,"Witnessed surreal UFO in Encino, CA. Massive object spinning with vibrant lights. Video evidence available for further investigation.",5/19/23,
4/19/23 00:30,Texarkana,AR,USA,Circle,Unknown,"The pilot of BYA584 at FL270 approximately 41 miles southwest of Texarkana, AR reported lights off to the north.",5/19/23,
