Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
5/6/23 21:15,Centerport,NY,USA,Orb,3 min. from first sightin,"2 orbs hovering, apart but aligned with each other, then vanished, separately.",5/19/23,
5/6/23 21:00,Wallingford,CT,USA,Changing,30 minutes,There was a floating thing in the sky turning red green and blue moving away suier slowly where you cant even realize its moving.,5/19/23,Yes
5/6/23 20:20,Mesa,AZ,USA,Rectangle,Ongoing,White rectangular with green blinking light to the upper left of it,5/19/23,
5/6/23 20:00,Rock Springs,WY,USA,Sphere,3 minuets,Floating orb on western horizon next to sun,5/19/23,
5/6/23 18:24,Chula Vista,CA,USA,Unknown,30 minutes,Shinning object higher than keys I have a video,5/19/23,
5/6/23 17:51,Franklin,IN,USA,Changing,2mins,Its started like a ship looking then changed into a round craft,5/19/23,Yes
5/6/23 08:46,Fairfax,VA,USA,Cigar,4 seconds,"Object initially appeared dark and spherical, but quickly turned, revealing that it was dull gray and cigar-like",5/19/23,
5/5/23 23:00,Pacifica,CA,USA,Orb,3 min,Glowing light,5/19/23,
5/5/23 21:30,Aurora,CO,USA,Unknown,,Object over streaking low skyline intersecting flight path,5/19/23,
5/5/23 21:25,Arvada,CO,USA,Orb,Less than one minute,Saw a bright flying object in the southern sky seemingly tapered at both ends flying east to west at a low altitude.,5/19/23,
5/5/23 21:23,Littleton,CO,USA,Circle,2 seconds,A light flying low in the atmosphere going extremely fast from south to north. There was no trail.,5/19/23,
5/5/23 20:00,Gladstone,VA,USA,Cylinder,30 minutes,Witnessed two cylindrical orbs hovering for 30 minutes over the James River in Gladstone Virginia.,5/19/23,Yes
5/5/23 20:00,Payson,AZ,USA,Circle,3-5 seconds,Saw an extremely bright light moving incredibly fast east to west parallel to the horizon.,5/19/23,
5/5/23 16:45,San Bernardino,CA,USA,Rectangle,45 Seconds,Large Bus Like Dark Gray Rectangular UFO,5/19/23,
5/5/23 00:00,Green Cove Springs,FL,USA,Light,Approx 1hour,While sailing overnight to Florida we saw 2 objects in the sky over Florida moving randomly for approx an hour.,5/19/23,
